id,name,productLink,isIphone,description,price,category,imageUrl,tags
1,iPhone 13 (512GB),https://amzn.eu/d/5TtowNo,1,"The iPhone 13, introduced in 2021, features a ceramic shield front, textured matte glass, and stainless steel design. It has a 6.06-inch display with rounded corners and supports Apple Pay, Apple Cash, and Siri. The phone runs on iOS 15 and is equipped with advanced accessibility features. ",79900,Mobile,https://i.ibb.co/Jpjf6md/iphone-13.jpg,apple iphone13 mobile
2,Sony PS5 Console,https://amzn.eu/d/cUHhgvt,0,"Immerse yourself in worlds with a new level of realism as rays of light are individually simulated, creating true-to-life shadows and reflections in supported PS5 games.",54990,Gaming,https://i.ibb.co/gSjMHDK/ps5.jpg,gaming playstation console
3,iPhone 13 Pro Max (512GB),http://tinyurl.com/29l4sgtr,1,"iPhone 13. boasts an advanced dual-camera system that allows you to click mesmerising pictures with immaculate clarity. Furthermore, the lightning-fast A15 Bionic chip allows for seamless multitasking, elevating your performance to a new dimension. A big leap in battery life, a durable design, and a bright Super Retina XDR display facilitate boosting your user experience.",149990,Mobile,https://i.ibb.co/CJ68Xm4/iphone-13-pro-max.jpg,apple iphone13 mobile
4,"JBL Go 3, Bluetooth Speaker",https://amzn.eu/d/68JcMRF,0,"Ultimate JBL Pro Sound: Enjoy signature JBL bass without any distortion. Port-anywhere: Feather light, ultra-portable grab-and-go design. Charging Time: 2.5 Hrs",2999,Speaker,https://i.ibb.co/RgyxNk1/jblgo3.jpg,speaker jbl electronics
5,iPhone 14 Plus  (512GB),https://amzn.eu/d/aC17b5B,1,"Stay productive and improve your performance with the Super Retina XDR display that is comfortable for the eyes. Powered with a 12 MP main camera, enjoy taking pictures with friends and family. With a built-in rechargeable lithium-ion battery and equipped with the MagSafe wireless charging.",99900,Mobile,https://i.ibb.co/68238jV/iphone-14-plus.jpg,apple iphone14 mobile
6,"Spellbinding Shimla, Manali & Chandigarh",https://rb.gy/tei62i,0,"Experience the enchantment of Shimla, Manali, and Chandigarh with our 6-night tour package. Discover snow-covered landscapes, picturesque views, and rich culture. ",36207,Tour,https://i.ibb.co/YkDVrm6/manali-tour.jpg,tour trip manali
7,ASUS Vivobook 15,https://amzn.eu/d/7Xa0DQu,0,Windows 11 Home with lifetime validity | Software Included: Pre-Installed Office Home and Student 2021 | 1-Year McAfee Anti-Virus,28000,Laptop,https://i.ibb.co/WVhvNhf/Asus-Vivobook-15-OLED-review-1.jpg,laptop asus
8,iPhone 15 Pro Max  (512GB),https://amzn.eu/d/5ccjJiF,1,"The iPhone 15 Pro Max stands out as the highest-end device in Apple's latest flagship iPhone 15 series. It offers an expansive ProMotion XDR display with a 120Hz refresh rate. The A17 Pro chip is among the most powerful chipsets out there, capable of handling most daily as well as heavy-duty tasks with ease. ",179900,Mobile,https://i.ibb.co/mbMMNVf/iphone-15-pro-max.jpg,apple iphone15 mobile
9,"Philips Digital Oven, 25 Litre, 1500 Watt",https://amzn.eu/d/0GyvJdz,0,"Uniform cooking on all sides and even-browning in bread & cakes with No dark spots, perfect output",8999,Home Appliance,https://i.ibb.co/KrfZj5C/oven.jpg,oven electronics cooking
10,Fully Loaded Bali with Premium Stay,https://rb.gy/837ygk,0,"Escape to paradise with our 6-night Bali tour package, offering a premium stay experience at a 5-star resort. Indulge in daily breakfast, enjoy a traditional Balinese dinner, and embark on exciting inclusions. This fully loaded package ensures an unforgettable Bali getaway.",78983,Tour,https://i.ibb.co/bXfF1hh/bali-tour.jpg,tour trip bali
11,TVS Raider 125,https://www.bikewale.com/tvs-bikes/raider-125/,0,"The Raider 125 from TVS is a lovely entry-level commuter motorcycle. With its sporty styling and feature loaded nature, the Raider 125 makes so much sense for a market like India.",97000,Vehicle,https://i.ibb.co/DWK4Cg3/tvs-raider.jpg,bike tvs vehivle riding
12,iPhone 15  (512GB),https://amzn.eu/d/1I38Lpx,1,"Sure, the iPhone 15 may seem like it costs a pretty penny, but it brings a lot of important Apple tech such as USB Type-C, 48MP camera, Dynamic Island and the A16 Bionic chip. Despite the lack of a telephoto camera on the iPhone 15, its computational photography prowess helps it be one of the best camera phones for the price point. ",99900,Mobile,https://i.ibb.co/DLSST0n/iphone-15.jpg,apple iphone15 mobile
13,iPhone 13 Pro  (512GB),http://tinyurl.com/2a68yngg,1,A more vivid OLED display that’s both easier to see in full sunlight and power efficient. With a durable design that’s water and dust-resistant.,13900,Mobile,https://i.ibb.co/W315WyP/iphone-13-pro.jpg,apple iphone13 mobile
14,NIKE Mens Air Shoe,https://amzn.eu/d/iig4hiV,0,"The Nike Mens Air Zoom Pegus Flyease Shoe is designed for ultimate comfort and performance. Featuring a Flyease entry system for easy on and off, a breathable mesh upper.",8824,Apparel,https://i.ibb.co/phbKgQG/nike-air.jpg,shoe nike apparel
15,iPhone 15 Pro  (512GB),https://amzn.eu/d/fAK2CRs,1,"FORGED IN TITANIUM — iPhone 15 Pro has a strong and light aerospace-grade titanium design with a textured matte-glass back. It also features a Ceramic Shield front that’s tougher than any smartphone glass. And it’s splash, water, and dust resistant.",158990,Mobile,https://i.ibb.co/HG4yTkS/iphone-15-pro.jpg,apple iphone15 mobile
16,Samsung (65 inches) 4K TV,https://amzn.eu/d/1de0Coe,0,"This TV delivers stunning picture quality, with a resolution of 3840 x 2160 pixels and PurColor technology that fine-tunes the color range for a vibrant picture",94000,Home Appliance,https://i.ibb.co/hMzGm04/tv.jpg,tv samsung 4k
17,OnePlus 12R (128GB Storage),https://amzn.eu/d/hQcCWrm,0,"Fast & Smooth for years: Snapdragon 8 Gen 2 Mobile Platform, Up to 16GB RAM, Dual Cryo-velocity VC Cooling System.
Fast & Smooth for years: Snapdragon 8 Gen 2 Mobile Platform, Up to 16GB of LPDDR5X RAM with RAM-Vita - Dual Cryo-velocity VC Cooling System, Pristine Display with Aqua Touch",39999,Mobile,https://i.ibb.co/pxM8yMc/oneplus-12r.jpg,oneplus mobile
18,iPhone 14,http://tinyurl.com/29c9zfhx,1,The Apple iPhone 14 will probably be one of the highest-selling models in this series. The phone comes with a perfect blend of sleek design and great features. The iPhone 14 is loaded with a large 6.1-inch screen and offers one of the fastest Apple A15 Bionic chipset.,89900,Mobile,https://i.ibb.co/S7R50TK/iphone-14.png,apple iphone14 mobile
19,"Samsung 7 kg, Fully-Automatic Washing Machine",https://amzn.eu/d/hfSSHxh,0,"Fully-automatic top load washing machine: Affordable with great wash quality Easy to use, Quick Wash Bedding Delicates Eco Tub Clean Energy Saving Jeans Normal Rinse + Spin Delay End",17990,Home Appliance,https://i.ibb.co/f1LSjBj/washing-machine.jpg,washing-machine home washing
20,"Samsung 236 L, Double Door Refrigerator",https://amzn.eu/d/bTgH5MW,0,Frost Free Refrigerator: Auto Defrost with powerful cooling and long lasting freshness and performance. Manage your flexible storage needs with different convertible modes,26990,Home Appliance,https://i.ibb.co/H2H4zGd/fridge.jpg,fridge refrigerator samsung
